stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
5222,,Urquijo 14 / Institutoa,,43.25978,-2.9326,,,0,
5223,,Montevideo / Santa Ana,,43.26322,-2.95867,,,0,
5224,,Aldamiz Mendia / Telefónica,,43.26846,-2.91835,,,0,
5225,,Abusu / Ibaialde,,43.24207,-2.92376,,,0,
5226,,Moyúa 4,,43.26283,-2.9356,,,0,
5227,,Zabala 22,,43.25432,-2.93212,,,0,
5228,,Errekalde - Larraskitu / Iberdrola,,43.24493,-2.93382,,,0,
5229,,Deustuko Zubia / Zubiarte,,43.26765,-2.93962,,,0,
5230,,Madariaga / La Salle,,43.2707,-2.95495,,,0,
5231,,Urazurrutia 1 / Sala Cuna,,43.25406,-2.9232,,,0,
5232,,Askatasuna / Gortazar,,43.2514416,-2.9282063,,,0,
5233,,Errekalde - Larraskitu 23,,43.25084,-2.94193,,,0,
5234,,Errekalde - Larraskitu 30,,43.24903,-2.93985,,,0,
5235,,Larratundu 21,,43.26082,-2.89886,,,0,
5236,,Alfonso Churruca 3,,43.26575,-2.96002,,,0,
5237,,Zamacola 84,,43.24496,-2.92422,,,0,
5238,,Luis Power 18 / Anbulatorioa,,43.27052,-2.9474,,,0,
5239,,Atxuri 15 / Geltokia - Estación,,43.25357,-2.92136,,,0,
5240,,Autonomía 22,,43.25749,-2.93799,,,0,
5241,,Campo Volantín 4,,43.26447,-2.92448,,,0,
5242,,Prim 36,,43.25672,-2.91608,,,0,
5243,,Museo 1 / Henao,,43.26598,-2.93708,,,0,
5244,,Indalecio Prieto 12,,43.24996,-2.91755,,,0,
5245,,Olano 4,,43.25391,-2.92447,,,0,
5246,,Basurtu - Kastrexana 65,,43.26104,-2.9567,,,0,
5247,,Ganekogorta 10,,43.27477,-2.94695,,,0,
5248,,Zorrotzaurre 36,,43.27675,-2.96815,,,0,
5249,,Montevideo / Ospitalea,,43.2596,-2.95219,,,0,
5250,,Ganeta Mendia 7,,43.27543,-2.94751,,,0,
5251,,Buia Auzoa 153,,43.22647,-2.91367,,,0,
5252,,Prim 22 Bis,,43.25759,-2.91759,,,0,
5253,,Cortes 23,,43.25604,-2.93024,,,0,
5254,,Gordoniz 90,,43.24945,-2.94661,,,0,
5255,,Juan De Garay 11,,43.25503,-2.93335,,,0,
5256,,Xenpelar / Zabala,,43.25279,-2.93259,,,0,
5257,,Begoñako Basilika,,43.25896,-2.91348,,,0,
5258,,Basurtubekoa / Iparralde,,43.25855,-2.95199,,,0,
5259,,Gernika 11,,43.25126,-2.92938,,,0,
5260,,Julián Gaiarre 10,,43.25077,-2.90332,,,0,
5261,,Irala 19,,43.255,-2.93626,,,0,
5262,,Zabalbide 7,,43.25594,-2.9218,,,0,
5263,,Jesús Galíndez 24 / Gabriel Aresti,,43.26072,-2.90574,,,0,
5264,,Zumalacárregui / T. Zubiria,,43.26474,-2.91836,,,0,
5265,,Kobeta Mendia / Acc. Barrio,,43.25583,-2.95967,,,0,
5266,,Ribera De Deustu 87,,43.27082,-2.96429,,,0,
5267,,Alda San Mamés 8,,43.25776,-2.93512,,,0,
5268,,Luis Power 4 / Kiroldegia,,43.26863,-2.94722,,,0,
5269,,Prim 60,,43.25715,-2.91447,,,0,
5270,,Langaran 3 / Merkatua,,43.25774,-2.89793,,,0,
5271,,Arenal / San Nicolás,,43.26037,-2.92298,,,0,
5272,,Martín Barua 24,,43.24858,-2.93001,,,0,
5273,,San Justo 5,,43.23984,-2.94283,,,0,
5274,,Gorbeia 1,,43.27421,-2.94577,,,0,
5275,,Rotonda Eskurtze,,43.25083,-2.93569,,,0,
5276,,Zamacola 70,,43.2457,-2.9226,,,0,
5277,,Hurtado Amézaga 36,,43.25851,-2.93198,,,0,
5278,,Maurice Ravel 7 / Telefónica,,43.26783,-2.9184,,,0,
5279,,Julián Gaiarre 36,,43.25259,-2.90234,,,0,
5280,,Andramaria,,43.26221,-2.91302,,,0,
5281,,Ugarte 7,,43.26036,-2.90128,,,0,
5282,,Pau Casals 21 / C. Cívico,,43.25761,-2.89907,,,0,
